cyan 青色
orange 橙色
purple 紫色
link 连接
text 文本
stylesheet 样式表
green 绿色（？）
normal 标准的
size 尺寸
weight 重量
line 线条
align 排列
indent 缩进
decoration 装饰
repeat 重复
hover 盘旋
target 目标
blank 空白的
cover 遮盖
contanin 包含
border 边界
content 内容
padding 填充
margin 边缘
online 在线的
transform 改变形态
rotate 旋转
scale 规模
transition 过度
property 属性
duration 持续
second 秒
animation 动画
keyframes 关键帧
iteration 重复
orderde 有序的
unordered 无序的
list 列表
item 列表项
list-style-type
      disc 实心圆
      circle 空心圆
      square 实心方块
      none 啥也没有

input 输入
password 密码
placeholder 占位符
checkbox 复选框
select 选择
submit 提交
definition 定义
key 键；钥匙；密钥
browser 浏览器
server 服务器
domain 域名
port 端口
